Name,Konsensrating,Buy,Overweight,Hold,Underweight,Sell
T-Mobile US,-,25,1,2,0,1
Constellation Energy,-,9,0,4,0,0
Marvell Technology,-,25,3,2,0,0
AstraZeneca,-,23,2,5,0,0
MercadoLibre,-,16,1,5,0,0
CrowdStrike,-,34,4,6,0,0
DexCom,-,17,2,3,0,0
CoStar Group,-,11,1,3,0,0
ASML,-,25,2,6,0,1
Diamondback Energy,-,23,2,4,1,0
PDD,-,41,7,2,0,0
Microchip Technology,-,16,1,7,0,0
Baker Hughes,-,18,2,5,0,0
Palo Alto Networks,-,32,5,4,0,0
Alphabet A (ex Google),-,41,7,5,0,0
Zscaler,-,26,2,12,0,0
KLA-Tencor,-,13,0,7,0,1
Synopsys,-,11,2,1,0,0
Alphabet C (ex Google),-,40,7,5,0,0
Amazon,-,42,7,4,0,1
Biogen,-,22,2,10,0,0
Microsoft,-,37,6,7,0,1
NVIDIA,-,36,6,6,1,0
JD.com,-,36,7,8,0,0
Copart,-,6,1,2,0,0
O Reilly Automotive,-,15,1,8,1,0
Exelon,-,9,0,7,0,1
AMD (Advanced Micro Devices) ,-,24,3,15,0,0
Lam Research,-,13,1,11,0,0
Analog Devices,-,18,3,9,0,0
Intuit,-,20,4,4,0,1
Warner Bros. Discovery,-,17,2,9,0,1
PayPal,-,29,5,14,0,0
Vertex Pharmaceuticals,-,19,3,11,0,0
Mondelez,-,15,2,6,1,0
Broadcom,-,19,4,3,1,0
Monster Beverage,-,14,1,10,1,0
Applied Materials,-,18,3,8,0,1
Meta Platforms (ex Facebook),-,39,7,10,1,3
Fortinet,-,20,4,11,0,0
Enphase Energy,-,25,5,9,1,0
Costco Wholesale,-,20,4,12,0,0
Electronic Arts,-,14,2,13,0,0
GLOBALFOUNDRIES,-,10,2,3,0,1
Netflix,-,21,1,19,0,3
NXP Semiconductors,-,13,2,12,0,0
Workday A,-,22,5,9,0,1
Lucid,-,5,0,5,0,1
Gilead Sciences,-,12,1,17,0,0
Booking,-,17,2,12,1,1
CSX,-,16,4,9,0,0
Datadog A,-,21,6,10,0,0
QUALCOMM,-,17,4,9,0,1
Comcast,-,16,3,9,0,2
Starbucks,-,11,1,18,0,0
Autodesk,-,15,3,7,0,2
Moderna,-,12,3,9,0,0
American Electric Power,-,9,1,10,0,1
The Kraft Heinz Company,-,8,1,12,0,0
Apple,-,23,6,12,0,1
Charter A,-,10,0,14,0,2
Align Technology,-,7,1,4,1,0
Regeneron Pharmaceuticals,-,14,2,8,2,0
Xcel Energy,-,6,0,8,1,0
Ross Stores,-,12,3,6,0,1
Activision Blizzard,-,14,5,4,0,0
Lululemon Athletica,-,20,4,4,2,2
Micron Technology,-,21,5,8,1,2
Cadence Design Systems,-,10,3,3,1,0
Rivian Automotive,-,12,2,7,1,2
Cisco,-,8,2,13,0,0
Honeywell,-,11,3,11,0,1
Adobe,-,15,5,16,0,0
Verisk Analytics A,-,8,3,8,0,0
Seagen,-,3,0,14,0,0
Cintas,-,8,2,9,1,0
ANSYS,-,7,2,8,0,1
PepsiCo,-,9,2,10,1,1
Keurig Dr Pepper,-,7,2,10,0,1
Intuitive Surgical,-,11,5,10,0,0
Zoom Video Communications,-,6,1,25,0,1
Illumina,-,8,1,8,1,3
Dollar Tree,-,10,2,12,3,0
Airbnb,-,13,3,19,0,5
Tesla,-,18,5,17,1,5
Amgen,-,8,1,13,2,2
Marriott,-,5,2,15,0,1
Walgreens Boots Alliance,-,2,0,13,1,1
eBay,-,5,2,22,0,3
IDEXX Laboratories,-,5,3,3,1,0
Old Dominion Freight Line,-,5,1,12,1,4
Cognizant,-,4,0,18,1,5
Paccar,-,3,2,16,1,1
Intel,-,5,2,26,1,5
Automatic Data Processing,-,2,1,15,1,3
Fastenal,-,3,0,8,2,3
Paychex,-,2,1,14,1,3
Fiserv,-,  Non Value,  Non Value,  Non Value,  Non Value,  Non Value
Sirius XM,-,  Non Value,  Non Value,  Non Value,  Non Value,  Non Value
